# ----------------------------------------
# SACRD.org v2 - GA4
# Portal Events-Portals
# 20260101-20260131
# ----------------------------------------

,,,Segment,Is US Portal,Totals
URL,Search,Entity type,Entity ID,Event count,Event count
https://www.sacrd.org/portal/housingservices/?gp=mainPage&zipcode=78205&lat=29.42364&lng=-98.48647&a,?gp=mainPage&zipcode=78205&lat=29.42364&lng=-98.48647&a=302,attribute,302,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78201&lat=29.42364&lng=-98.48647&gp=hsp_starti,?zipcode=78201&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_masterselector,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_notesP,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_notesPage,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78207&lat=29.42364&lng=-98.48647&gp=hsp_starti,?zipcode=78207&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78227&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78227&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78227&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78227&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_needhe,?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=303&nhw=0,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78245&lat=29.42364&lng=-98.48647&gp=hsp_needhe,?zipcode=78245&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=302&nhw=3,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78247&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78247&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,7,7
