id,name,portal
891,"Medication Management",Older Adults
706,"Men Only",Substance Use
624,"Mental Health",Hill Country Resources
861,"Mental Health Counseling",Older Adults
789,"Mobility Disabilities",IDD and Disability Support
914,"Mobility-Impaired",Older Adults
847,"Mortgage Assistance",Older Adults
798,"Older Adults",IDD and Disability Support
807,"Private Pay",IDD and Disability Support
926,"Private Pay",Older Adults
699,"Private Pay",Substance Use
834,"Real Estate Assistance",Older Adults
187,"Rooms and Shares",Housing Finder
897,"Scam & Fraud Education",Older Adults
907,"Skilled Volunteer Opportunities",Older Adults
500,"Sober Living",Housing Services
581,"Special Discounts",Housing Services
765,"Specialized Medical & Dental Care",IDD and Disability Support
687,"Transportation Assistance Provided",Substance Use
319,"Utility Assistance - Internet",Housing Services
736,"Work Incentive Counseling",IDD and Disability Support
693,"Young Adults (18-25)",Substance Use
949,"Older Adults Caring for Children & Grandchildren",Older Adults
941,"Extreme Cleaning",Older Adults
910,"Older Adults Caring for Older Adults",Older Adults
950,"Sensory-Impaired",Older Adults
812,"Neurodiversity",IDD and Disability Support
491,"Older Adult (55+)",Housing Services
952,"Palliative Care",Older Adults
932,"Parenting Men",Substance Use
529,"Respite/Caregiver Support",Housing Services
953,"Weather Relief",Older Adults
139,"Northwest",Housing Finder
172,"RSO",Housing Finder
117,"3BR",Housing Finder
564,"Asian",Mental Healthcare Portal
875,"Foreclosure Prevention",Older Adults
483,"Grandparent(s) Raising Children",Housing Services
501,"Group Living",Housing Services
719,"Information & Referral Services",IDD and Disability Support
245,"Massage Therapy",Big Bend Regional Resource Directory
582,"Notes",Housing Services
824,"Older LGBTQ+ Opportunities & Support",Older Adults
707,"Parenting Women",Substance Use
939,"Personal Care Items",Older Adults
175,"Pet Friendly",Housing Finder
555,"Prefer not to State",Mental Healthcare Portal
862,"Primary Care",Older Adults
848,"Rental Assistance",Older Adults
808,"Sliding Scale Fee",IDD and Disability Support
927,"Sliding Scale Fee",Older Adults
700,"Sliding Scale Fee",Substance Use
915,"Solo Ager",Older Adults
790,"Speech & Language Disabilities",IDD and Disability Support
766,"Speech & Language Therapy",IDD and Disability Support
625,"Speech Therapy",Hill Country Resources
955,"Tax Preparation Assistance",Older Adults
908,"Transportation Volunteer Drivers",Older Adults
519,"Utility Assistance - Phone",Housing Services
898,"Wellness Checks",Older Adults
942,"Hoarding Help & Junk Removal",Older Adults
173,"No US ID",Housing Finder
186,"Seniors, Minimum Age",Housing Finder
118,"4BR",Housing Finder
244,"Acupuncturists",Big Bend Regional Resource Directory
565,"Black or African American",Mental Healthcare Portal
158,"Cats",Housing Finder
484,"Foster Parent/Guardian",Housing Services
876,"Home Sharing",Older Adults
320,"Housing Vouchers",Housing Services
809,"Income-Based Eligibility",IDD and Disability Support
928,"Income-Based Eligibility",Older Adults
626,"Occupational Therapy",Hill Country Resources
532,"Older Adult Community",Housing Services
720,"Peer Mentorship & Support",IDD and Disability Support
708,"Pregnant Women",Substance Use
863,"Respite Care",Older Adults
849,"Scam & Fraud Education",Older Adults
825,"Senior Centers & Activity Centers",Older Adults
916,"Technology-Limited",Older Adults
791,"Traumatic Brain Injury (TBI)",IDD and Disability Support
938,"Thrifty Options",Older Adults
119,"4BR",Housing Finder
523,"Assisted Living Community",Housing Services
159,"Dogs",Housing Finder
485,"Foster Youth",Housing Services
566,"Hispanic or Latino",Mental Healthcare Portal
530,"Home Improvement Assistance",Housing Services
877,"Home Maintenance",Older Adults
627,"Physical Therapy",Hill Country Resources
721,"Protection & Advocacy",IDD and Disability Support
810,"Serves Uninsured Individuals",IDD and Disability Support
929,"Serves Uninsured Individuals",Older Adults
864,"Sexual Health & Education",Older Adults
826,"Social Clubs & Groups",Older Adults
850,"Utility Assistance",Older Adults
917,"Veteran Older Adult",Older Adults
709,"Veterans & Military Families",Substance Use
234,"Veterans Care",Big Bend Regional Resource Directory
330,"Wills",Housing Services
957,"Home Repairs, Major",Older Adults
5,"All male",Mental Healthcare Portal
3,"Children (12 and under)",Mental Healthcare Portal
292,"Device Lending",Digital Connectivity Asset Map
263,"Help Escaping Violence",Big Bend Regional Resource Directory
201,"Youth Shelters",The Famous Test Portal
268,"Basic Literacy",Big Bend Regional Resource Directory
277,"Food Delivery",Big Bend Regional Resource Directory
570,"Friend or Family",Mental Healthcare Portal
202,"Rental and Financial Assistance",The Famous Test Portal
120,"5BR",Housing Finder
584,"Cats",Housing Services
524,"Continuing Care Community",Housing Services
878,"Homeless Services & Shelters",Older Adults
542,"Moving Cost Assistance",Housing Services
567,"Native Hawaiian or Other Pacific Islander",Mental Healthcare Portal
194,"Number/Breed/Size Restrictions",Housing Finder
486,"Other Youth (18-24)",Housing Services
647,"Parenting Programs",Big Bend Regional Resource Directory
242,"Pediatricians",Big Bend Regional Resource Directory
722,"Representative Payee Services",IDD and Disability Support
628,"Sexual and Reproductive Health",Hill Country Resources
947,"Skilled Nursing",Older Adults
865,"Specialized Medical Care",Older Adults
827,"Support Groups for Older Adults",Older Adults
828,"Wellness Checks",Older Adults
710,"Women Only",Substance Use
203,"Medical",The Famous Test Portal
121,"5BR",Housing Finder
367,"Help with Deposits",Housing Services
879,"Independent Living Communities",Older Adults
525,"Memory Care Facility",Housing Services
487,"Minor (Under 18)",Housing Services
241,"Ob/Gyn Providers",Big Bend Regional Resource Directory
723,"Self-Advocacy Training & Support",IDD and Disability Support
948,"Speech & Language Therapy",Older Adults
629,"Spiritual Care",Hill Country Resources
866,"Substance Use & Addiction Support",Older Adults
568,"White",Mental Healthcare Portal
933,"Youth",Substance Use
204,"Substance Abuse Rehabilitation",The Famous Test Portal
502,"Care Facility",Housing Services
240,"Family Practice Providers",Big Bend Regional Resource Directory
630,"Help Pay for Healthcare",Hill Country Resources
587,"It does not matter",Mental Healthcare Portal
880,"Memory Care",Older Adults
724,"Service Coordination",IDD and Disability Support
130,"Single Family",Housing Finder
