# ----------------------------------------
# SACRD.org v2 - GA4
# Page View Events-Page Views
# 20250901-20250930
# ----------------------------------------

,Segment,Is page view,Totals
Page location,Page referrer,Event count,Event count
https://www.sacrd.org/directory/program/11340,https://www.google.com/,29,29
https://www.sacrd.org/directory/program/161,https://www.google.com/,29,29
https://www.sacrd.org/directory/program/18352,https://www.google.com/,29,29
https://www.sacrd.org/directory/program/6411,https://www.google.com/,29,29
https://www.sacrd.org/directory/program/698,https://www.google.com/,29,29
https://www.sacrd.org/directory/program/704,https://www.google.com/,29,29
https://www.sacrd.org/directory/subcategory/emergency-food,https://www.sacrd.org/directory/,29,29
https://www.sacrd.org/directory/subcategory/narcotics-anonymous?zipcode=78221,https://www.google.com/,29,29
https://sacrd.org/directory/,https://311.sanantonio.gov/,28,28
https://sacrd.org/directory/contact-us,https://sacrd.org/directory/,28,28
https://sacrd.org/directory/search?lat=29.42364&lng=-98.48647&s=Rental+assistance,,28,28
https://sacrd.org/portal/sadigitalconnects/?gp=mainPage,,28,28
https://www.sacrd.org/directory/organization/1773,https://www.google.com/,28,28
https://www.sacrd.org/directory/organization/1982,https://www.sacrd.org/directory/organization/1982,28,28
https://www.sacrd.org/directory/program/10590,https://www.google.com/,28,28
https://www.sacrd.org/directory/program/11357,https://www.google.com/,28,28
https://www.sacrd.org/directory/program/11375,https://www.sacrd.org/directory/program/11375,28,28
https://www.sacrd.org/directory/program/16027,,28,28
https://www.sacrd.org/directory/program/16149,https://www.google.com/,28,28
https://www.sacrd.org/directory/program/4737,https://www.google.com/,28,28
https://www.sacrd.org/directory/program/697,https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,28,28
https://www.sacrd.org/directory/program/717,https://www.google.com/,28,28
https://www.sacrd.org/directory/program/851,https://www.google.com/,28,28
https://www.sacrd.org/directory/subcategory/food-pantry?zipcode=78217,https://www.google.com/,28,28
https://www.sacrd.org/directory/subcategory/help-find-housing,https://www.sacrd.org/directory/,28,28
https://www.sacrd.org/directory/subcategory/help-find-work,https://www.sacrd.org/directory/,28,28
https://www.sacrd.org/portal/mhp/?gp=mhp_start,,28,28
http://localhost/directory/search?show=all&s=need+food+for+my+elderly+dad,http://localhost:8000/directory/,27,27
https://sacrd.org/directory/organization/1794,https://www.google.com/,27,27
https://sacrd.org/directory/program/10691,https://sacrd.org/directory/subcategory/help-pay-for-housing,27,27
https://www.sacrd.org/directory/organization/1584,https://www.sacrd.org/directory/organization/1584?lat=29.424738&lng=-98.49177,27,27
https://www.sacrd.org/directory/organization/2454,https://www.sacrd.org/directory/organization/2454,27,27
https://www.sacrd.org/directory/organization/2619,https://www.google.com/,27,27
https://www.sacrd.org/directory/program/11315,https://www.google.com/,27,27
https://www.sacrd.org/directory/program/6946,,27,27
https://www.sacrd.org/directory/program/8753,https://www.google.com/,27,27
