"ProjectCategory","SMPProjectID","CouncilDistrict","ProjectStreet","StreetFrom","StreetTo","ProjectLimits","FiscalYear","Application","Type_","Force","WeightedPCI","PBaseFail","FieldBasePave","PFlatWork","EstTotalCost","ProjectStatus","ScheduleStart","ScheduleFinish","ActualStart","ActualFinish","ProjectManager","Contact","Shape_Length","Sealant_App","PCI_Factor","ActStart","ActFinish","ActDuration","START","Oday","Odate","Omonth","Ohour","Oyear","Otime"
"Preservation","18349","10","Winter Vw","Heritage Hill","Chimney Spgs","Winter Vw From Heritage Hill To Chimney Spgs",2016,"Fog Seal - City","Sealant","City",74,0,0,0,1527.43841277551,"Base Budget",NA,NA,NA,NA,NA,NA,339.311261342305,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18353","10","Lonesome Pine","Rocky Crk","Bear Run","Lonesome Pine From Rocky Crk To Bear Run",2014,"Slurry Seal - City","Sealant","City",80,0,0,0,19824.38,"AP Change to from 25 to 27",NA,NA,NA,NA,NA,NA,1047.86315073781,"Slurry Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18431","2","Rene","N Weidner Rd","Overlook Dr","Rene From N Weidner Rd To Overlook Dr",2014,"Slurry Seal - City","Sealant","City",70,0,0,0,14667.58,"0",NA,NA,NA,NA,NA,NA,751.001636411797,"Slurry Seal","C (61-70)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18432","2","Jacques","N Weidner Rd","Overlook Dr","Jacques From N Weidner Rd To Overlook Dr",2014,"Fog Seal - City","Sealant","City",85,0,0,0,9523.26,"0",NA,NA,NA,NA,NA,NA,748.500519158604,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18433","2","Overlook Dr","Joe Lee","Sherri Ann Rd","Overlook Dr From Joe Lee To Sherri Ann Rd",2014,"Slurry Seal - City","Sealant","City",73,0,0,0,32481.98,"0",NA,NA,NA,NA,NA,NA,1661.96751122256,"Slurry Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18434","2","Suddith","N Weidner Rd","Overlook Dr","Suddith From N Weidner Rd To Overlook Dr",2014,"Slurry Seal - City","Sealant","City",80,0,0,0,14708.6,"AP Change to from 25 to 27",NA,NA,NA,NA,NA,NA,752.86139076918,"Slurry Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18455","6","Meadow Tree","Timber View Dr","Dead End","Meadow Tree From Timber View Dr To Dead End",2015,"Fog Seal - City","Sealant","City",67,0,0,0,1570.05493544227,"No Change",NA,NA,NA,NA,NA,NA,160.744714919808,"Fog Seal","C (61-70)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18458","6","Desert Morning","Windline","Sageline","Desert Morning From Windline To Sageline",2015,"Crack Seal - City","Sealant","City",82,0,0,0,960.997438237005,"ApCode Change",NA,NA,NA,NA,NA,NA,729.817970193414,"Crack Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18459","6","Windline","Desert Morning","Woodline","Windline From Desert Morning To Woodline",2015,"Crack Seal - City","Sealant","City",86,0,0,0,1515.76733267238,"ApCode Change",NA,NA,NA,NA,NA,NA,1127.63719661186,"Crack Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18460","6","Meadow Post","Meadow Pass","Meadow Rain","Meadow Post From Meadow Pass To Meadow Rain",2015,"Slurry Seal - City","Sealant","City",73,0,0,0,21318.0775600175,"ApCode Change",NA,NA,NA,NA,NA,NA,1064.21327597499,"Slurry Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18461","6","Cactus Crk","Desert Morning","Cul-De-Sac","Cactus Crk From Desert Morning To Cul-De-Sac",2015,"Fog Seal - City","Sealant","City",79,0,0,0,13967.3125267527,"ApCode Change",NA,NA,NA,NA,NA,NA,1107.37985122506,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18464","6","Hayden Holw","Rim Line Dr","Cul-De-Sac","Hayden Holw From Rim Line Dr To Cul-De-Sac",2015,"Fog Seal - City","Sealant","City",80,0,0,0,2958.764578084,"ApCode Change",NA,NA,NA,NA,NA,NA,270.730384977774,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18465","6","Sageline","Desert Morning","Cul-De-Sac","Sageline From Desert Morning To Cul-De-Sac",2015,"Fog Seal - City","Sealant","City",77,0,0,0,12663.0911426786,"ApCode Change",NA,NA,NA,2015-06-11,NA,NA,1064.69654743985,"Fog Seal","B (71-85)",NA,2015-06-11,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18466","6","Ridge Stone","Rim Line Dr","Rim Rock Trl","Ridge Stone From Rim Line Dr To Rim Rock Trl",2015,"Slurry Seal - City","Sealant","City",74,0,0,0,18522.8095970449,"ApCode Change",NA,NA,NA,NA,NA,NA,645.820883571046,"Slurry Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18475","5","Commercial Ave","Flanders Ave","W Harlan Ave","Commercial Ave From Flanders Ave To W Harlan Ave",2014,"Crack Seal - City","Sealant","City",87,0,0,0,1166.04,"No Change",NA,NA,NA,NA,NA,NA,948.055232285789,"Crack Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18483","5","Commercial Ave","Division","Flanders Ave","Commercial Ave From Division To Flanders Ave",2014,"Crack Seal - City","Sealant","City",87,0,0,0,2215.23,"No Change",NA,NA,NA,NA,NA,NA,1800.42217078892,"Crack Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
